RecordDate,AgencyName,FiscalYear,RestatementFlag,Measures,Amount (in Billions)
2022-09-30,National Science Foundation,2022,N,Net Cost,8.2
2022-09-30,Railroad Retirement Board,2022,N,Gross Cost,8.2
2022-09-30,Railroad Retirement Board,2022,N,Earned Revenue,0
2022-09-30,Railroad Retirement Board,2022,N,Subtotal,8.2
2022-09-30,Railroad Retirement Board,2022,N,Change in Assumptions,0
2022-09-30,Railroad Retirement Board,2022,N,Net Cost,8.2
2022-09-30,National Railroad Retirement Investment Trust,2022,N,Gross Cost,4.7
2022-09-30,National Railroad Retirement Investment Trust,2022,N,Earned Revenue,1.1
2022-09-30,National Railroad Retirement Investment Trust,2022,N,Subtotal,3.6
2022-09-30,National Railroad Retirement Investment Trust,2022,N,Change in Assumptions,0
2022-09-30,National Railroad Retirement Investment Trust,2022,N,Net Cost,3.6
2022-09-30,United States Postal Service,2022,N,Gross Cost,78.7
2022-09-30,United States Postal Service,2022,N,Earned Revenue,76.2
2022-09-30,United States Postal Service,2022,N,Subtotal,2.5
2022-09-30,United States Postal Service,2022,N,Change in Assumptions,0
2022-09-30,United States Postal Service,2022,N,Net Cost,2.5
2022-09-30,Smithsonian Institution,2022,N,Gross Cost,1.7
2022-09-30,Smithsonian Institution,2022,N,Earned Revenue,0.1
2022-09-30,Smithsonian Institution,2022,N,Subtotal,1.6
2022-09-30,Smithsonian Institution,2022,N,Change in Assumptions,0
2022-09-30,Smithsonian Institution,2022,N,Net Cost,1.6
2022-09-30,Millennium Challenge Corporation,2022,N,Gross Cost,0.7
2022-09-30,Millennium Challenge Corporation,2022,N,Earned Revenue,0
2022-09-30,Millennium Challenge Corporation,2022,N,Subtotal,0.7
2022-09-30,Millennium Challenge Corporation,2022,N,Change in Assumptions,0
2022-09-30,Millennium Challenge Corporation,2022,N,Net Cost,0.7
2022-09-30,Securities and Exchange Commission,2022,N,Gross Cost,2.6
2022-09-30,Securities and Exchange Commission,2022,N,Earned Revenue,2.4
2022-09-30,Securities and Exchange Commission,2022,N,Subtotal,0.2
2022-09-30,Securities and Exchange Commission,2022,N,Change in Assumptions,0
2022-09-30,Securities and Exchange Commission,2022,N,Net Cost,0.2
2022-09-30,National Credit Union Administration,2022,N,Gross Cost,0.3
2022-09-30,National Credit Union Administration,2022,N,Earned Revenue,0.1
2022-09-30,National Credit Union Administration,2022,N,Subtotal,0.2
2022-09-30,National Credit Union Administration,2022,N,Change in Assumptions,0
2022-09-30,National Credit Union Administration,2022,N,Net Cost,0.2
2022-09-30,U.S. Nuclear Regulatory Commission,2022,N,Gross Cost,0.8
2022-09-30,U.S. Nuclear Regulatory Commission,2022,N,Earned Revenue,0.7
2022-09-30,U.S. Nuclear Regulatory Commission,2022,N,Subtotal,0.1
2022-09-30,U.S. Nuclear Regulatory Commission,2022,N,Change in Assumptions,0
2022-09-30,U.S. Nuclear Regulatory Commission,2022,N,Net Cost,0.1
2022-09-30,United States International Development Finance Corporation,2022,N,Gross Cost,0.3
2022-09-30,United States International Development Finance Corporation,2022,N,Earned Revenue,0.2
2022-09-30,United States International Development Finance Corporation,2022,N,Subtotal,0.1
2022-09-30,United States International Development Finance Corporation,2022,N,Change in Assumptions,0
2022-09-30,United States International Development Finance Corporation,2022,N,Net Cost,0.1
2022-09-30,Export-Import Bank of the United States,2022,N,Gross Cost,0
2022-09-30,Export-Import Bank of the United States,2022,N,Earned Revenue,0.5
2022-09-30,Export-Import Bank of the United States,2022,N,Subtotal,-0.5
2022-09-30,Export-Import Bank of the United States,2022,N,Change in Assumptions,0
2022-09-30,Export-Import Bank of the United States,2022,N,Net Cost,-0.5
2022-09-30,General Services Administration,2022,N,Gross Cost,0.300000000000001
2022-09-30,General Services Administration,2022,N,Earned Revenue,0.9
2022-09-30,General Services Administration,2022,N,Subtotal,-0.599999999999999
2022-09-30,General Services Administration,2022,N,Change in Assumptions,0
2022-09-30,General Services Administration,2022,N,Net Cost,-0.599999999999999
2022-09-30,Farm Credit System Insurance Corporation,2022,N,Gross Cost,0
2022-09-30,Farm Credit System Insurance Corporation,2022,N,Earned Revenue,0.6
2022-09-30,Farm Credit System Insurance Corporation,2022,N,Subtotal,-0.6
2022-09-30,Farm Credit System Insurance Corporation,2022,N,Change in Assumptions,0
2022-09-30,Farm Credit System Insurance Corporation,2022,N,Net Cost,-0.6
2022-09-30,Tennessee Valley Authority,2022,N,Gross Cost,11.3
2022-09-30,Tennessee Valley Authority,2022,N,Earned Revenue,12.4
2022-09-30,Tennessee Valley Authority,2022,N,Subtotal,-1.1
2022-09-30,Tennessee Valley Authority,2022,N,Change in Assumptions,0
2022-09-30,Tennessee Valley Authority,2022,N,Net Cost,-1.1
2022-09-30,Federal Deposit Insurance Corporation,2022,N,Gross Cost,1.9
2022-09-30,Federal Deposit Insurance Corporation,2022,N,Earned Revenue,8.2
2022-09-30,Federal Deposit Insurance Corporation,2022,N,Subtotal,-6.3
2022-09-30,Federal Deposit Insurance Corporation,2022,N,Change in Assumptions,0
2022-09-30,Federal Deposit Insurance Corporation,2022,N,Net Cost,-6.3
2022-09-30,Pension Benefit Guaranty Corporation,2022,N,Gross Cost,9.9
2022-09-30,Pension Benefit Guaranty Corporation,2022,N,Earned Revenue,16.9
2022-09-30,Pension Benefit Guaranty Corporation,2022,N,Subtotal,-7
2022-09-30,Pension Benefit Guaranty Corporation,2022,N,Change in Assumptions,0
2022-09-30,Pension Benefit Guaranty Corporation,2022,N,Net Cost,-7
2022-09-30,All other entities,2022,N,Gross Cost,22.1
2022-09-30,All other entities,2022,N,Earned Revenue,2
2022-09-30,All other entities,2022,N,Subtotal,20.1
2022-09-30,All other entities,2022,N,Change in Assumptions,0.1
2022-09-30,All other entities,2022,N,Net Cost,20.2
2022-09-30,Total,2022,N,Gross Cost,7420
2022-09-30,Total,2022,N,Earned Revenue,531.1
2022-09-30,Total,2022,N,Subtotal,6888.9
2022-09-30,Total,2022,N,Change in Assumptions,2207.9
2022-09-30,Total,2022,N,Net Cost,9096.8
2022-09-30,Department of Veterans Affairs,2022,Y,Gross Cost,351
2022-09-30,Department of Veterans Affairs,2022,Y,Earned Revenue,3.9
2022-09-30,Department of Veterans Affairs,2022,Y,Subtotal,347.1
2022-09-30,Department of Veterans Affairs,2022,Y,Change in Assumptions,346.3
2022-09-30,Department of Veterans Affairs,2022,Y,Net Cost,693.4
2022-09-30,Department of Health and Human Services,2022,Y,Gross Cost,1644.9
2022-09-30,Department of Health and Human Services,2022,Y,Earned Revenue,137.7
2022-09-30,Department of Health and Human Services,2022,Y,Subtotal,1507.2
2022-09-30,Department of Health and Human Services,2022,Y,Change in Assumptions,0.7
2022-09-30,Department of Health and Human Services,2022,Y,Net Cost,1507.9
2022-09-30,Department of Defense,2022,Y,Gross Cost,851.8
2022-09-30,Department of Defense,2022,Y,Earned Revenue,44
2022-09-30,Department of Defense,2022,Y,Subtotal,807.8
2022-09-30,Department of Defense,2022,Y,Change in Assumptions,82.8
2022-09-30,Department of Defense,2022,Y,Net Cost,890.6
2022-09-30,Social Security Administration,2022,Y,Gross Cost,1194.1
2022-09-30,Social Security Administration,2022,Y,Earned Revenue,0.3
2022-09-30,Social Security Administration,2022,Y,Subtotal,1193.8
2022-09-30,Social Security Administration,2022,Y,Change in Assumptions,0
2022-09-30,Social Security Administration,2022,Y,Net Cost,1193.8
2022-09-30,Department of Education,2022,Y,Gross Cost,243
2022-09-30,Department of Education,2022,Y,Earned Revenue,34.4
2022-09-30,Department of Education,2022,Y,Subtotal,208.6
2022-09-30,Department of Education,2022,Y,Change in Assumptions,0
2022-09-30,Department of Education,2022,Y,Net Cost,208.6
2022-09-30,Department of the Treasury,2022,Y,Gross Cost,966.5
2022-09-30,Department of the Treasury,2022,Y,Earned Revenue,135.7
2022-09-30,Department of the Treasury,2022,Y,Subtotal,830.8
2022-09-30,Department of the Treasury,2022,Y,Change in Assumptions,0
2022-09-30,Department of the Treasury,2022,Y,Net Cost,830.8
2022-09-30,Interest on Treasury Securities held by the public,2022,Y,Gross Cost,392
2022-09-30,Interest on Treasury Securities held by the public,2022,Y,Earned Revenue,0
2022-09-30,Interest on Treasury Securities held by the public,2022,Y,Subtotal,392
2022-09-30,Interest on Treasury Securities held by the public,2022,Y,Change in Assumptions,0
2022-09-30,Interest on Treasury Securities held by the public,2022,Y,Net Cost,392
2022-09-30,Office of Personnel Management,2022,Y,Gross Cost,134
2022-09-30,Office of Personnel Management,2022,Y,Earned Revenue,26.3
2022-09-30,Office of Personnel Management,2022,Y,Subtotal,107.7
2022-09-30,Office of Personnel Management,2022,Y,Change in Assumptions,84.9
2022-09-30,Office of Personnel Management,2022,Y,Net Cost,192.6
2022-09-30,Department of Agriculture,2022,Y,Gross Cost,239.4
2022-09-30,Department of Agriculture,2022,Y,Earned Revenue,8.8
2022-09-30,Department of Agriculture,2022,Y,Subtotal,230.6
2022-09-30,Department of Agriculture,2022,Y,Change in Assumptions,0
2022-09-30,Department of Agriculture,2022,Y,Net Cost,230.6
2022-09-30,Department of Transportation,2022,Y,Gross Cost,102.9
2022-09-30,Department of Transportation,2022,Y,Earned Revenue,1
2022-09-30,Department of Transportation,2022,Y,Subtotal,101.9
2022-09-30,Department of Transportation,2022,Y,Change in Assumptions,0
2022-09-30,Department of Transportation,2022,Y,Net Cost,101.9
2022-09-30,Department of Homeland Security,2022,Y,Gross Cost,101
2022-09-30,Department of Homeland Security,2022,Y,Earned Revenue,12.9
2022-09-30,Department of Homeland Security,2022,Y,Subtotal,88.1
2022-09-30,Department of Homeland Security,2022,Y,Change in Assumptions,1.6
2022-09-30,Department of Homeland Security,2022,Y,Net Cost,89.7
2022-09-30,Security Assistance Accounts,2022,Y,Gross Cost,92.9
2022-09-30,Security Assistance Accounts,2022,Y,Earned Revenue,14.4
2022-09-30,Security Assistance Accounts,2022,Y,Subtotal,78.5
2022-09-30,Security Assistance Accounts,2022,Y,Change in Assumptions,0
2022-09-30,Security Assistance Accounts,2022,Y,Net Cost,78.5
2022-09-30,Small Business Administration,2022,Y,Gross Cost,350.5
2022-09-30,Small Business Administration,2022,Y,Earned Revenue,3.1
2022-09-30,Small Business Administration,2022,Y,Subtotal,347.4
2022-09-30,Small Business Administration,2022,Y,Change in Assumptions,0
2022-09-30,Small Business Administration,2022,Y,Net Cost,347.4
2022-09-30,Department of Labor,2022,Y,Gross Cost,396.8
2022-09-30,Department of Labor,2022,Y,Earned Revenue,0
2022-09-30,Department of Labor,2022,Y,Subtotal,396.8
2022-09-30,Department of Labor,2022,Y,Change in Assumptions,0
2022-09-30,Department of Labor,2022,Y,Net Cost,396.8
2022-09-30,Department of Justice,2022,Y,Gross Cost,41.4
2022-09-30,Department of Justice,2022,Y,Earned Revenue,2.6
2022-09-30,Department of Justice,2022,Y,Subtotal,38.8
2022-09-30,Department of Justice,2022,Y,Change in Assumptions,0
2022-09-30,Department of Justice,2022,Y,Net Cost,38.8
2022-09-30,Department of State,2022,Y,Gross Cost,40.2
2022-09-30,Department of State,2022,Y,Earned Revenue,3.5
2022-09-30,Department of State,2022,Y,Subtotal,36.7
2022-09-30,Department of State,2022,Y,Change in Assumptions,1.9
2022-09-30,Department of State,2022,Y,Net Cost,38.6
2022-09-30,Agency for International Development,2022,Y,Gross Cost,16
2022-09-30,Agency for International Development,2022,Y,Earned Revenue,0
2022-09-30,Agency for International Development,2022,Y,Subtotal,16
2022-09-30,Agency for International Development,2022,Y,Change in Assumptions,0
2022-09-30,Agency for International Development,2022,Y,Net Cost,16
2022-09-30,Department of Energy,2022,Y,Gross Cost,43.2
2022-09-30,Department of Energy,2022,Y,Earned Revenue,6.2
2022-09-30,Department of Energy,2022,Y,Subtotal,37
2022-09-30,Department of Energy,2022,Y,Change in Assumptions,0
2022-09-30,Department of Energy,2022,Y,Net Cost,37
2022-09-30,Department of Housing and Urban Development,2022,Y,Gross Cost,35.3
2022-09-30,Department of Housing and Urban Development,2022,Y,Earned Revenue,1.9
2022-09-30,Department of Housing and Urban Development,2022,Y,Subtotal,33.4
2022-09-30,Department of Housing and Urban Development,2022,Y,Change in Assumptions,0
2022-09-30,Department of Housing and Urban Development,2022,Y,Net Cost,33.4
2022-09-30,Department of the Interior,2022,Y,Gross Cost,23.8
2022-09-30,Department of the Interior,2022,Y,Earned Revenue,2.3
2022-09-30,Department of the Interior,2022,Y,Subtotal,21.5
2022-09-30,Department of the Interior,2022,Y,Change in Assumptions,0
2022-09-30,Department of the Interior,2022,Y,Net Cost,21.5
2022-09-30,National Aeronautics and Space Administration,2022,Y,Gross Cost,22.1
2022-09-30,National Aeronautics and Space Administration,2022,Y,Earned Revenue,0.3
2022-09-30,National Aeronautics and Space Administration,2022,Y,Subtotal,21.8
2022-09-30,National Aeronautics and Space Administration,2022,Y,Change in Assumptions,0
2022-09-30,National Aeronautics and Space Administration,2022,Y,Net Cost,21.8
2022-09-30,Federal Communications Commission,2022,Y,Gross Cost,11.7
2022-09-30,Federal Communications Commission,2022,Y,Earned Revenue,0.4
2022-09-30,Federal Communications Commission,2022,Y,Subtotal,11.3
2022-09-30,Federal Communications Commission,2022,Y,Change in Assumptions,0
2022-09-30,Federal Communications Commission,2022,Y,Net Cost,11.3
2022-09-30,Department of Commerce,2022,Y,Gross Cost,15.5
2022-09-30,Department of Commerce,2022,Y,Earned Revenue,3.6
2022-09-30,Department of Commerce,2022,Y,Subtotal,11.9
2022-09-30,Department of Commerce,2022,Y,Change in Assumptions,0.1
2022-09-30,Department of Commerce,2022,Y,Net Cost,12
2022-09-30,Environmental Protection Agency,2022,Y,Gross Cost,8.9
2022-09-30,Environmental Protection Agency,2022,Y,Earned Revenue,0.4
2022-09-30,Environmental Protection Agency,2022,Y,Subtotal,8.5
2022-09-30,Environmental Protection Agency,2022,Y,Change in Assumptions,0
2022-09-30,Environmental Protection Agency,2022,Y,Net Cost,8.5
2022-09-30,National Science Foundation,2022,Y,Gross Cost,7.4
2022-09-30,National Science Foundation,2022,Y,Earned Revenue,0
2022-09-30,National Science Foundation,2022,Y,Subtotal,7.4
2022-09-30,National Science Foundation,2022,Y,Change in Assumptions,0
2022-09-30,National Science Foundation,2022,Y,Net Cost,7.4
2022-09-30,Railroad Retirement Board,2022,Y,Gross Cost,17.3
2022-09-30,Railroad Retirement Board,2022,Y,Earned Revenue,0
2022-09-30,Railroad Retirement Board,2022,Y,Subtotal,17.3
2022-09-30,Railroad Retirement Board,2022,Y,Change in Assumptions,0
2022-09-30,Railroad Retirement Board,2022,Y,Net Cost,17.3
2022-09-30,National Railroad Retirement Investment Trust,2022,Y,Gross Cost,0.1
2022-09-30,National Railroad Retirement Investment Trust,2022,Y,Earned Revenue,6.6
2022-09-30,National Railroad Retirement Investment Trust,2022,Y,Subtotal,-6.5
2022-09-30,National Railroad Retirement Investment Trust,2022,Y,Change in Assumptions,0
2022-09-30,National Railroad Retirement Investment Trust,2022,Y,Net Cost,-6.5
2022-09-30,United States Postal Service,2022,Y,Gross Cost,77.9
2022-09-30,United States Postal Service,2022,Y,Earned Revenue,75.7
2022-09-30,United States Postal Service,2022,Y,Subtotal,2.2
2022-09-30,United States Postal Service,2022,Y,Change in Assumptions,0
2022-09-30,United States Postal Service,2022,Y,Net Cost,2.2
2022-09-30,Smithsonian Institution,2022,Y,Gross Cost,1.5
2022-09-30,Smithsonian Institution,2022,Y,Earned Revenue,0.8
2022-09-30,Smithsonian Institution,2022,Y,Subtotal,0.7
2022-09-30,Smithsonian Institution,2022,Y,Change in Assumptions,0
2022-09-30,Smithsonian Institution,2022,Y,Net Cost,0.7
2022-09-30,Millennium Challenge Corporation,2022,Y,Gross Cost,0.7
2022-09-30,Millennium Challenge Corporation,2022,Y,Earned Revenue,0
2022-09-30,Millennium Challenge Corporation,2022,Y,Subtotal,0.7
2022-09-30,Millennium Challenge Corporation,2022,Y,Change in Assumptions,0
2022-09-30,Millennium Challenge Corporation,2022,Y,Net Cost,0.7
2022-09-30,Securities and Exchange Commission,2022,Y,Gross Cost,2.4
2022-09-30,Securities and Exchange Commission,2022,Y,Earned Revenue,2.5
2022-09-30,Securities and Exchange Commission,2022,Y,Subtotal,-0.0999999999999996
2022-09-30,Securities and Exchange Commission,2022,Y,Change in Assumptions,0
2022-09-30,Securities and Exchange Commission,2022,Y,Net Cost,-0.0999999999999996
2022-09-30,National Credit Union Administration,2022,Y,Gross Cost,0.2
2022-09-30,National Credit Union Administration,2022,Y,Earned Revenue,0.1
2022-09-30,National Credit Union Administration,2022,Y,Subtotal,0.1
2022-09-30,National Credit Union Administration,2022,Y,Change in Assumptions,0
2022-09-30,National Credit Union Administration,2022,Y,Net Cost,0.1
2022-09-30,U.S. Nuclear Regulatory Commission,2022,Y,Gross Cost,0.9
2022-09-30,U.S. Nuclear Regulatory Commission,2022,Y,Earned Revenue,0.7
2022-09-30,U.S. Nuclear Regulatory Commission,2022,Y,Subtotal,0.2
2022-09-30,U.S. Nuclear Regulatory Commission,2022,Y,Change in Assumptions,0
2022-09-30,U.S. Nuclear Regulatory Commission,2022,Y,Net Cost,0.2
2022-09-30,United States International Development Finance Corporation,2022,Y,Gross Cost,0
2022-09-30,United States International Development Finance Corporation,2022,Y,Earned Revenue,0.2
2022-09-30,United States International Development Finance Corporation,2022,Y,Subtotal,-0.2
2022-09-30,United States International Development Finance Corporation,2022,Y,Change in Assumptions,0
2022-09-30,United States International Development Finance Corporation,2022,Y,Net Cost,-0.2
2022-09-30,Export-Import Bank of the United States,2022,Y,Gross Cost,0.5
2022-09-30,Export-Import Bank of the United States,2022,Y,Earned Revenue,0.7
2022-09-30,Export-Import Bank of the United States,2022,Y,Subtotal,-0.2
2022-09-30,Export-Import Bank of the United States,2022,Y,Change in Assumptions,0
2022-09-30,Export-Import Bank of the United States,2022,Y,Net Cost,-0.2
2022-09-30,General Services Administration,2022,Y,Gross Cost,-0.100000000000001
2022-09-30,General Services Administration,2022,Y,Earned Revenue,0.9
2022-09-30,General Services Administration,2022,Y,Subtotal,-1
2022-09-30,General Services Administration,2022,Y,Change in Assumptions,0
2022-09-30,General Services Administration,2022,Y,Net Cost,-1
2022-09-30,Farm Credit System Insurance Corporation,2022,Y,Gross Cost,0
2022-09-30,Farm Credit System Insurance Corporation,2022,Y,Earned Revenue,0.4
2022-09-30,Farm Credit System Insurance Corporation,2022,Y,Subtotal,-0.4
2022-09-30,Farm Credit System Insurance Corporation,2022,Y,Change in Assumptions,0
2022-09-30,Farm Credit System Insurance Corporation,2022,Y,Net Cost,-0.4
2022-09-30,Tennessee Valley Authority,2022,Y,Gross Cost,8.8
2022-09-30,Tennessee Valley Authority,2022,Y,Earned Revenue,10.4
2022-09-30,Tennessee Valley Authority,2022,Y,Subtotal,-1.6
2022-09-30,Tennessee Valley Authority,2022,Y,Change in Assumptions,0
2022-09-30,Tennessee Valley Authority,2022,Y,Net Cost,-1.6
2022-09-30,Federal Deposit Insurance Corporation,2022,Y,Gross Cost,1.7
2022-09-30,Federal Deposit Insurance Corporation,2022,Y,Earned Revenue,7.1
2022-09-30,Federal Deposit Insurance Corporation,2022,Y,Subtotal,-5.4
2022-09-30,Federal Deposit Insurance Corporation,2022,Y,Change in Assumptions,0
2022-09-30,Federal Deposit Insurance Corporation,2022,Y,Net Cost,-5.4
2022-09-30,Pension Benefit Guaranty Corporation,2022,Y,Gross Cost,-56.5
2022-09-30,Pension Benefit Guaranty Corporation,2022,Y,Earned Revenue,22.6
2022-09-30,Pension Benefit Guaranty Corporation,2022,Y,Subtotal,-79.1
2022-09-30,Pension Benefit Guaranty Corporation,2022,Y,Change in Assumptions,0
2022-09-30,Pension Benefit Guaranty Corporation,2022,Y,Net Cost,-79.1
2022-09-30,All other entities,2022,Y,Gross Cost,24.9
2022-09-30,All other entities,2022,Y,Earned Revenue,1.8
